,status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk
0,0,18,4,7,1049,4,1,1,3,3,4,2,21,3,0,4,2,1,0,0,1
1,0,9,4,1,2799,4,2,3,0,3,1 <= ... < 4 yrs,0,36,3,0,3,2,0,0,0,1
2,1,12,3,0,841,1,3,3,3,3,4,0,23,3,0,4,1,1,0,0,1
3,0,12,4,1,2122,4,2,2,0,3,1 <= ... < 4 yrs,0,39,3,0,3,1,0,0,1,1
4,0,12,4,1,2171,4,2,1,0,3,4,2,38,1,1,3,1,1,0,1,1
5,0,10,4,1,2241,4,1,4,0,3,4 <= ... < 7 yrs,0,48,3,0,3,1,0,0,1,1
6,0,8,4,1,3398,4,3,4,0,3,4,0,39,3,1,3,1,1,0,1,1
7,0,6,4,1,1361,4,1,3,0,3,4,0,40,3,1,4,1,0,0,1,1
8,2,18,4,6,1098,4,0,1,3,3,4,1,65,3,1,3,0,1,0,0,1
9,1,24,3,6,3758,100 <= ... <  500 DM,0,4,3,3,4,3,23,3,0,4,0,1,0,0,1
10,0,11,4,1,3905,4,2,3,0,3,1 <= ... < 4 yrs,0,36,3,0,3,2,0,0,0,1
11,0,30,4,8,6187,1,3,4,2,3,4,1,24,3,0,3,2,1,0,0,1
12,0,6,4,6,1957,4,3,4,3,3,4,1,31,3,1,4,2,1,0,0,1
13,1,48,2,9,7582,1,0,3,0,3,4,3,31,3,1,4,3,1,1,0,1
14,0,18,3,6,1936,4,3,3,2,3,4,1,23,3,0,3,1,1,0,0,1
15,0,6,3,6,2647,100 <= ... <  500 DM,2,3,0,3,4 <= ... < 7 yrs,0,44,3,0,4,2,0,0,0,1
16,0,11,4,1,3939,4,2,4,0,3,1 <= ... < 4 yrs,0,40,3,1,3,1,0,0,0,1
17,1,18,3,6,3213,100 <= ... <  500 DM,1,4,2,3,4 <= ... < 7 yrs,0,25,3,0,4,2,1,0,0,1
18,1,36,4,6,2337,4,4,1,0,3,4,0,36,3,1,4,2,1,0,0,1
19,2,11,4,1,7228,4,2,4,0,3,4,2,39,3,1,3,1,1,0,0,1
20,0,6,4,1,3676,4,2,4,0,3,4 <= ... < 7 yrs,0,37,3,0,2,2,0,0,0,1
21,1,12,4,1,3124,4,1,4,0,3,4 <= ... < 7 yrs,0,49,1,1,3,1,0,0,0,1
22,1,36,3,4,2384,4,1,1,0,3,1,3,33,3,0,4,1,1,0,0,0
23,1,12,4,2,1424,4,3,1,0,3,4 <= ... < 7 yrs,2,26,3,1,4,2,1,0,0,1
24,0,6,4,1,4716,4,1,4,0,3,4 <= ... < 7 yrs,0,44,3,1,3,1,0,0,0,1
25,1,11,2,6,4771,4,3,3,0,3,4,2,51,3,1,4,2,1,0,0,1
